NumID,PlayerID,birthYear,birthMonth,birthDay,Nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,debutYear,debutTeam,Name,Position,SigningBonus,Salary,DraftOrder,DebutYearTeam
3049,94310,1971,3,10,Korea,Lee,Sung-Yong,Lee Sung-Yong,216,73,L,L,1994,Pacific,이숭용,,,,94 태평양 2차,94태평양
3050,94312,1971,10,10,Korea,Kim,Seong-Tae,Kim Seong-Tae,0,0,R,R,,,김성태,Catcher,,,,
3051,94315,1971,7,10,Korea,Choi,In-Seon,Choi In-Seon,0,0,R,R,,,최인선,Infielder,,,,
3052,94323,1966,10,9,Korea,Ha,Deuk-In,Ha Deuk-In,0,0,R,R,,,하득인,Infielder,,,,
3053,94330,1971,3,31,Korea,Choi,Sang-Deok,Choi Sang-Deok,216,74,R,R,1994,Pacific,최상덕,,,,,94태평양
3054,94333,1971,7,15,Korea,Kwak,Byeong-Chan,Kwak Byeong-Chan,0,0,R,R,,,곽병찬,Pitcher,,,,
3055,94338,1975,7,9,Korea,Moon,Chang-Hwan,Moon Chang-Hwan,194,74,R,R,,,문창환,Pitcher,,,,
3056,94353,1965,5,2,Korea,Lim,Seong-Ju,Lim Seong-Ju,0,0,L,L,,,임성주,Outfielder,,,,
3057,94364,1975,4,10,Korea,Jeon,Jun-Ho,Jeon Jun-Ho,220,73,R,R,1996,Hyundai,전준호,Pitcher,,,94 태평양 고졸신인,96현대
3058,94403,1972,1,18,Korea,Choi,Chan-Uk,Choi Chan-Uk,0,0,R,R,,,최찬욱,Outfielder,,,,
3059,94408,1967,6,3,Japan,Kim,Sil,Kim Sil,159,68,L,L,,,김실,,,,,
3060,94415,1971,8,19,Korea,Kim,Tae-Gyun,Kim Tae-Gyun,181,69,R,R,1994,Samsung,김태균,,,,94 삼성 2차,94삼성
3061,94419,1971,5,25,Korea,Gam,Byeong-Hun,Gam Byeong-Hun,194,73,L,L,,,감병훈,Pitcher,,,,
3062,94426,1972,2,11,Korea,Choi,Ik-Seong,Choi Ik-Seong,190,71,R,R,,,최익성,Outfielder,,,,
3063,94429,1972,4,22,USA,Choi,Yong-Hee,Choi Yong-Hee,0,0,R,R,,,최용희,Pitcher,,,,
3064,94438,1971,8,7,Korea,Lim,Chae-Yeong,Lim Chae-Yeong,0,0,R,R,,,임채영,Catcher,,,,
3065,94444,1975,7,26,Korea,Park,Jong-Ho,Park Jong-Ho,170,71,R,R,,,박종호,Catcher,,,,
3066,94450,1971,10,30,Korea,Kim,Han-Su,Kim Han-Su,207,74,R,R,1994,Samsung,김한수,,,,,94삼성
3067,94476,1975,9,29,Korea,Cho,Mun-Sik,Cho Mun-Sik,179,72,R,R,,,조문식,Pitcher,,,,
