playerID,yearID,lgID,teamID,stint,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
50662,2020,KBO,KIA,1,47,0,0,5,4,1,11,0.556,172,117,41,2,24,2,32,15,14,3.29
50662,2021,KBO,KIA,1,64,0,0,5,4,34,0,0.556,272,198,49,5,28,4,49,18,16,2.2
50662,2022,KBO,KIA,1,55,0,0,3,7,32,0,0.3,238,168,54,3,18,0,43,21,21,3.38
50662,2023,KBO,KIA,1,52,0,0,3,4,23,1,0.429,218,150,53,3,20,1,30,18,16,2.92
50662,2024,KBO,KIA,1,53,0,0,2,3,31,1,0.4,210,157,47,8,16,1,50,14,14,2.49
50662,2025,KBO,KIA,1,18,0,0,1,2,11,0,0.333,83,64,18,1,7,1,25,6,5,2.29
50705,2020,KBO,Hanwha,1,50,0,0,1,2,1,14,0.333,203,147,41,3,18,0,57,16,14,2.57
50705,2021,KBO,Hanwha,1,58,0,0,2,1,5,13,0.667,269,192,51,2,26,5,55,16,15,2.13
50705,2022,KBO,Hanwha,1,56,0,0,4,8,7,7,0.333,232,156,44,7,29,4,39,26,24,4.21
50705,2023,KBO,Hanwha,1,43,0,0,1,3,0,12,0.25,189,132,35,5,19,8,42,31,31,6.44
50706,2020,KBO,Hanwha,1,2,0,0,0,1,0,0,0,35,28,7,0,6,0,5,3,3,3.52
50706,2021,KBO,Hanwha,1,4,0,0,0,0,0,0,-,38,24,15,4,2,0,4,8,8,9.82
50711,2024,KBO,Hanwha,1,3,0,0,0,0,0,0,-,13,9,4,0,0,1,2,1,1,3
50711,2025,KBO,Hanwha,1,3,0,0,0,0,0,0,-,10,6,3,1,3,0,2,5,5,33.75
50720,2021,KBO,Hanwha,1,3,0,0,0,1,0,0,0,41,24,9,1,7,3,3,6,6,7.36
50720,2022,KBO,Hanwha,1,22,0,0,2,11,0,0,0.154,418,267,109,9,45,3,41,68,63,6.37
50720,2023,KBO,Hanwha,1,16,0,0,1,7,0,0,0.125,186,118,54,0,13,6,23,31,27,6.45
50720,2024,KBO,Hanwha,1,2,0,0,0,0,0,0,-,17,12,2,0,2,1,3,0,0,0
50726,2020,KBO,Hanwha,1,1,0,0,0,0,0,0,-,10,10,3,1,2,0,2,3,3,16.2
50726,2022,KBO,Hanwha,1,7,0,0,0,0,0,0,-,76,52,25,0,4,3,12,11,11,6.32
50726,2023,KBO,Hanwha,1,47,0,0,1,4,0,2,0.2,320,217,81,6,31,4,55,34,31,3.95
50726,2024,KBO,Hanwha,1,18,0,0,0,2,0,0,0,120,66,45,2,10,3,14,31,28,11.45
50758,2021,KBO,Hanwha,1,2,0,0,0,0,0,0,-,3,1,0,0,1,0,0,2,0,0
50812,2022,KBO,SSG,1,2,0,0,0,0,0,0,-,6,3,3,0,0,0,0,2,2,18
50812,2024,KBO,SSG,1,11,0,0,0,0,0,0,-,70,49,18,1,7,2,11,11,11,6.75
50812,2025,KBO,SSG,1,9,0,0,0,0,0,1,-,57,42,10,1,7,0,10,3,3,1.93
50813,2020,KBO,SK,1,1,0,0,0,0,0,0,-,5,3,1,1,2,0,0,1,1,9
50813,2021,KBO,SSG,1,1,0,0,0,1,0,0,0,10,3,3,0,3,1,1,3,3,27
50815,2020,KBO,SK,1,2,0,0,0,2,0,0,0,52,37,16,1,4,0,6,11,8,6.75
50815,2021,KBO,Hanwha,1,25,0,0,10,8,0,0,0.556,591,432,117,11,41,5,131,58,51,3.19
50815,2022,KBO,Hanwha,1,3,0,0,1,2,0,0,0.333,70,51,15,1,5,1,18,6,5,2.76
50835,2020,KBO,SK,1,30,0,0,6,15,0,0,0.286,766,486,198,19,90,11,112,121,111,6.17
50859,2020,KBO,SK,1,8,0,0,0,1,0,0,0,50,34,12,1,6,1,9,10,6,5.59
50859,2021,KBO,SSG,1,33,0,0,7,6,0,2,0.538,530,330,125,11,73,10,95,84,72,5.89
50859,2022,KBO,SSG,1,31,0,0,6,8,0,0,0.429,633,432,158,16,58,3,112,79,72,4.5
50859,2023,KBO,SSG,1,28,1,0,8,10,0,0,0.444,648,439,158,11,69,9,88,92,84,5.23
50859,2024,KBO,SSG,1,29,0,0,6,9,0,1,0.4,550,370,122,17,65,13,112,72,68,5.03
50859,2025,KBO,KT,1,8,0,0,4,2,0,0,0.667,183,135,28,3,23,4,41,13,12,2.4
50900,2020,KBO,NC,1,1,0,0,0,0,0,0,-,1,0,1,0,0,0,0,1,1,-
50901,2020,KBO,NC,1,1,0,0,0,0,0,0,-,3,3,0,0,0,0,0,0,0,0
50901,2021,KBO,NC,1,7,0,0,0,0,0,0,-,34,25,3,0,7,3,9,5,4,5.4
50904,2024,KBO,LG,1,27,0,0,1,2,0,1,0.333,119,78,26,4,16,0,28,13,12,4.15
50905,2021,KBO,NC,1,3,0,0,0,1,0,0,0,61,43,13,2,10,2,10,8,8,5.68
50912,2020,KBO,NC,1,29,0,0,11,9,0,0,0.55,696,478,164,12,63,10,125,87,82,4.68
50992,2020,KBO,NC,1,1,0,0,0,0,0,0,-,5,3,0,0,1,0,1,0,0,0
50992,2021,KBO,NC,1,7,0,0,0,0,0,0,-,63,45,11,1,9,1,10,8,8,4.8
50992,2022,KBO,NC,1,16,0,0,3,2,0,1,0.6,194,135,36,4,21,5,31,16,16,3.25
50992,2025,KBO,NC,1,3,0,0,0,0,0,1,-,29,15,8,2,6,1,5,12,6,12.46
50995,2022,KBO,NC,1,2,0,0,0,0,0,0,-,6,6,1,1,1,0,2,2,2,13.5
50995,2023,KBO,NC,1,4,0,0,0,1,0,0,0,64,43,16,3,12,0,6,11,11,7.82
51058,2021,KBO,KT,1,3,0,0,0,0,0,0,-,23,16,10,3,2,0,3,8,8,19.64
51058,2024,KBO,KT,1,10,0,0,0,4,0,0,0,103,57,29,4,18,0,17,22,21,9.95
51060,2021,KBO,KT,1,3,0,0,1,0,0,0,1,16,12,1,0,1,1,4,1,0,0
51060,2022,KBO,KT,1,2,0,0,0,0,0,0,-,10,6,3,0,0,1,1,1,1,4.5
51097,2023,KBO,KT,1,31,0,0,0,0,1,1,-,150,99,30,4,20,1,35,22,20,5.45
51097,2024,KBO,KT,1,8,0,0,0,0,0,0,-,39,24,9,1,7,1,8,6,4,4.91
51110,2024,KBO,LG,1,1,0,0,0,1,0,0,0,27,12,11,0,4,0,2,7,7,15.75
51111,2022,KBO,LG,1,7,0,0,0,1,0,0,0,40,27,9,1,6,0,10,5,5,5.4
51111,2023,KBO,LG,1,1,0,0,0,0,0,0,-,5,3,1,0,1,0,0,0,0,0
51111,2025,KBO,LG,1,8,0,0,3,3,0,0,0.5,190,142,36,4,16,0,42,15,15,2.96
51136,2021,KBO,LG,1,23,0,0,10,2,0,0,0.833,473,348,91,4,41,4,126,33,28,2.18
51143,2022,KBO,LG,1,1,0,0,1,0,0,0,1,22,15,5,0,4,0,4,2,2,3.6
51143,2023,KBO,LG,1,7,0,0,1,2,0,0,0.333,103,70,25,1,12,2,14,18,15,6.23
51143,2024,KBO,LG,1,1,0,0,0,0,0,0,-,9,6,2,1,3,0,2,3,3,20.25
51154,2021,KBO,LG,1,3,0,0,0,0,0,0,-,9,9,2,0,0,0,2,1,1,3.86
51154,2024,KBO,LG,1,8,0,0,0,1,0,0,0,58,42,17,3,4,0,6,10,10,6.75
51230,2022,KBO,Doosan,1,10,0,0,0,0,0,0,-,85,55,23,5,9,0,13,14,14,7.56
51230,2023,KBO,Doosan,1,18,0,0,3,6,0,0,0.333,334,237,73,5,35,4,59,37,36,4.14
51230,2024,KBO,Doosan,1,14,1,0,1,3,0,0,0.25,244,150,67,6,21,4,35,46,38,6.84
51234,2021,KBO,Doosan,1,21,1,0,9,9,0,0,0.5,540,372,132,5,42,12,112,44,41,2.98
51257,2021,KBO,Doosan,1,28,1,1,14,5,0,0,0.737,709,526,135,11,63,1,225,49,45,2.33
51257,2022,KBO,Doosan,1,3,0,0,0,0,0,0,-,43,28,2,0,18,1,8,7,7,8.22
51264,2021,KBO,Doosan,1,15,0,0,0,0,0,2,-,83,57,20,3,10,1,16,10,8,3.93
51264,2022,KBO,Doosan,1,48,0,0,3,7,0,5,0.3,423,282,104,8,43,2,64,59,55,5.3
51264,2023,KBO,Doosan,1,34,0,0,3,6,1,0,0.333,479,333,116,9,34,4,82,54,49,3.97
51264,2024,KBO,Doosan,1,12,0,0,2,0,0,1,1,124,81,37,6,7,0,21,19,18,6
51264,2025,KBO,Doosan,1,9,0,0,3,1,0,0,0.75,198,138,43,5,19,4,34,22,22,4.3
51294,2021,KBO,Doosan,1,1,0,0,0,0,0,0,-,3,3,0,0,0,0,2,0,0,0
51294,2024,KBO,Doosan,1,2,0,0,0,0,0,0,-,12,9,2,0,2,1,1,2,1,3.86
51301,2021,KBO,Kiwoom,1,46,0,0,1,3,0,2,0.25,188,130,40,4,23,0,31,30,24,5.18
51301,2022,KBO,Kiwoom,1,23,0,0,0,2,0,2,0,105,70,31,3,10,3,16,25,19,7.89
51301,2023,KBO,Kiwoom,1,55,0,0,3,3,0,7,0.5,208,141,44,5,25,1,38,19,19,3.64
51334,2021,KBO,Kiwoom,1,2,0,0,1,0,0,0,1,43,30,9,1,5,0,5,7,7,6.3
51359,2021,KBO,Kiwoom,1,19,0,0,0,1,0,0,0,92,58,15,0,24,3,14,18,18,9.17
51359,2022,KBO,Kiwoom,1,14,0,0,0,0,0,0,-,70,42,23,2,7,1,19,12,12,7.71
51359,2023,KBO,Kiwoom,1,23,0,0,1,5,0,0,0.167,339,220,63,4,66,8,67,46,44,5.53
51393,2021,KBO,Kiwoom,1,14,0,0,0,0,0,0,-,67,45,15,2,7,3,8,6,5,3.14
