ID,npbjpID,playerID,birthYear,birthMonth,birthDay,birthPlace,nameLast,nameFirst,height,weight,bats,throws,Position
4595,,104595,1967,11,8,United States,Anthony,Eric,74,194,,,First baseman
4596,,104596,1968,3,4,Venezuela,Carrara,Giovanni,74,225,,,Pitcher
4597,,104597,1968,9,16,United States,Acre,Mark,80,236,,,Pitcher
4598,,104598,1968,9,26,United States,Shouse,Brian,71,181,,,Pitcher
4599,,104599,1968,11,24,United States,Hansen,Dave,72,181,,,Third baseman
4600,,104600,1969,1,11,Dominican Republic,Rivera,Ben,78,209,,,Pitcher
4601,,104601,1969,2,13,United States,Mimbs,Mark,74,190,,,Pitcher
4602,,104602,1969,2,15,United States,Williams,Brian,75,205,,,Pitcher
4603,,104603,1969,3,1,United States,Creek,Doug,70,205,,,Pitcher
4604,,104604,1969,3,25,United States,Schullstrom,Erik,77,220,,,Pitcher
4605,,104605,1969,5,9,United States,Wilson,Desi,79,229,,,Center fielder
4606,,104606,1969,5,13,United States,Mouton,Lyle,76,240,,,First baseman
4607,,104607,1969,5,19,United States,Leftwich,Phil,77,205,,,Pitcher
4608,,104608,1969,7,3,Japan,Okubo,Hideaki,69,170,,,Pinch Hitter
4609,,104609,1969,8,1,United States,Jarvis,Kevin,74,201,,,Pitcher
4610,,104610,1969,8,31,United States,Minchey,Nate,80,225,,,Pitcher
4611,,104611,1970,2,1,Venezuela,Hurtado,Edwin,75,216,,,Pitcher
4612,,104612,1970,4,13,Japan,Furuya,Tsuyoshi,72,181,,,Second baseman
4613,,104613,1970,5,2,United States,Crawford,Joe,75,225,,,Pitcher
4614,,104614,1970,8,15,South Korea,Lee,Jong-Beom,70,161,,,Left fielder
4615,,104615,1970,10,16,United States,Davison,Scott,72,190,,,Pitcher
4616,,104616,1971,3,11,South Korea,Lee (Sang-Hoon Lee),Samson,73,190,,,Pitcher
4617,,104617,1971,4,4,Japan,Shibasaki,Kazuhiro,69,172,,,Pitcher
4618,,104618,1971,5,31,Venezuela,Malave,Jose,74,212,,,Right fielder
4619,,104619,1971,7,3,Japan,Oshio,Kenichi,73,181,,,Pitcher
4620,,104620,1971,8,1,United States,Driskill,Travis,72,185,,,Pitcher
4621,,104621,1972,1,26,Japan,Watarai,Hirobumi,71,172,,,First baseman
4622,,104622,1972,3,22,Japan,Takahashi,Nobuo,70,170,,,Catcher
4623,,104623,1972,6,13,United States,May,Darrell,74,170,,,Pitcher
4624,,104624,1972,8,6,Japan,Shinzato,Shoya,67,154,,,Third baseman
4625,,104625,1972,9,12,Japan,Yamamoto,Eiji,69,161,,,Pinch Hitter
4626,,104626,1972,10,17,Japan,Fujita,Soichi,68,172,,,Pitcher
4627,,104627,1972,11,13,Japan,Shotsu,Eiji,68,168,,,Pitcher
4628,,104628,1973,4,28,Puerto Rico,Orellano,Rafael,74,161,,,Pitcher
4629,,104629,1973,12,19,Japan,Kawanaka,Mototsugu,71,172,,,Third baseman
4630,,104630,1974,1,14,Japan,Fujii,Masashi,72,203,,,Catcher
4631,,104631,1974,1,29,Japan,Kobayashi,Kanei,71,192,,,Pitcher
4632,,104632,1974,2,11,Japan,Daita,Takenori,71,161,,,Left fielder
4633,,104633,1974,2,19,Japan,Tsuboi,Tomochika,70,174,,,Right fielder
4634,,104634,1974,3,23,Japan,Hiramatsu,Kazuhiro,70,170,,,Pitcher
4635,,104635,1974,4,15,Japan,Kubo,Mitsuhiro,69,165,,,Catcher
4636,,104636,1974,6,15,Japan,Kuriyama,Satoshi,73,176,,,Pitcher
4637,,104637,1974,6,18,Japan,Hoshino,Junji,71,190,,,Pitcher
4638,,104638,1974,7,9,Japan,Sugimoto,Kiyohiko,69,150,,,Pitcher
4639,,104639,1974,7,29,Japan,Kinugawa,Yukio,69,172,,,Pinch Hitter
4640,,104640,1975,1,24,Japan,Takahashi,Akinori,75,181,,,Pitcher
4641,,104641,1975,4,3,Japan,Takahashi,Yoshinobu,71,192,,,Right fielder
4642,,104642,1975,4,23,Japan,Yamaoka,Hiroyuki,71,181,,,Pitcher
4643,,104643,1975,5,12,Japan,Ibata,Hirokazu,68,161,,,Shortstop
4644,,104644,1975,5,23,Japan,Suzuki,Fumihiro,71,165,,,Catcher
4645,,104645,1975,6,22,Japan,Kawakami,Kenshin,70,198,,,Pitcher
4646,,104646,1975,7,27,Japan,Kura,Yoshikazu,70,198,,,Catcher
4647,,104647,1975,8,11,Japan,Nagai,Tomohiro,72,187,,,Pitcher
4648,,104648,1975,8,30,Japan,Maeda,Kazuyuki,72,192,,,Pitcher
4649,,104649,1975,9,9,Japan,Shimizu,Akio,73,176,,,Pitcher
4650,,104650,1975,11,8,Japan,Kimura,Shigeru,71,170,,,Pitcher
4651,,104651,1975,11,29,Japan,Iso,Tsuneyuki,70,159,,,Pitcher
4652,,104652,1976,2,9,Japan,Takasu,Yosuke,67,161,,,Second baseman
4653,,104653,1976,2,13,Japan,Maki,Masaki,73,172,,,Pitcher
4654,,104654,1976,4,17,Japan,Endo,Ryuji,74,181,,,Pitcher
4655,,104655,1976,5,22,Japan,Tamura,Kei,68,150,,,Catcher
4656,,104656,1976,6,2,Japan,Harada,Kenji,68,170,,,Pitcher
4657,,104657,1976,9,1,Japan,Doi,Yoshihiro,70,190,,,Pitcher
4658,,104658,1976,9,7,Japan,Shinohara,Takayuki,70,176,,,Pitcher
4659,,104659,1977,3,15,Japan,Oda,Kohei,71,185,,,Catcher
4660,,104660,1977,5,5,Japan,Tanaka,Masaoki,68,143,,,Right fielder
4661,,104661,1977,8,12,Japan,Koishizawa,Kiyotaka,70,170,,,Pitcher
4662,,104662,1977,8,15,Japan,Hidaka,Takeshi,72,198,,,Catcher
4663,,104663,1977,8,18,Japan,Miyade,Ryuji,76,198,,,Right fielder
4664,,104664,1978,3,9,Japan,Sawai,Ryosuke,70,170,,,Designated hitter
4665,,104665,1978,5,7,Japan,Kawano,Masato,73,192,,,Pitcher
4666,,104666,1978,6,4,Japan,Kobayashi,Hiroyuki,72,176,,,Pitcher
4667,,104667,1978,7,9,Dominican Republic,Quesada,Alejandro,68,165,,,Right fielder
4668,,104668,1979,2,9,Japan,Iwamura,Akinori,69,203,,,Third baseman
4669,,104669,1964,6,3,Dominican Republic,Liriano,Nelson,70,165,,,Second baseman
4670,,104670,1965,4,24,Germany,Blowers,Mike,74,190,,,Third baseman
4671,,104671,1965,8,12,United States,Manuel,Barry,71,174,,,Pitcher
4672,,104672,1966,6,28,United States,Bolick,Frank,70,190,,,Designated hitter
4673,,104673,1966,8,12,United States,Hartgraves,Dean,72,185,,,Pitcher
4674,,104674,1966,10,6,United States,Cianfrocco,Archi,77,201,,,Third baseman
4675,,104675,1967,4,8,United States,Batchelor,Rich,73,194,,,Pitcher
4676,,104676,1967,10,17,United States,Johnson,Mark,76,229,,,First baseman
4677,,104677,1968,5,19,United States,Zinter,Alan,74,201,,,Designated hitter
4678,,104678,1969,2,27,United States,Banks,Willie,73,190,,,Pitcher
4679,,104679,1969,4,22,United States,Gonzalez,Paul,72,190,,,Designated hitter
4680,,104680,1969,6,4,Venezuela,Perez,Robert,75,205,,,Left fielder
4681,,104681,1969,6,21,United States,Paul,Corey,73,181,,,Left fielder
4682,,104682,1969,12,28,United States,Pedraza,Rod,74,209,,,Pitcher
4683,,104683,1970,1,23,Panama,Obando,Sherman,76,216,,,Designated hitter
4684,,104684,1970,3,21,United States,DeHart,Rick,73,181,,,Pitcher
4685,,104685,1970,5,7,United States,Smith,Mark,75,205,,,Right fielder
4686,,104686,1970,5,14,Japan,Tateishi,Naoyuki,70,179,,,Pitcher
4687,,104687,1970,6,7,Japan,Taira,Koichi,68,161,,,Pitcher
4688,,104688,1970,11,24,United States,Jacome,Jason,73,154,,,Pitcher
4689,,104689,1971,1,13,Mexico,Dessens,Elmer,71,201,,,Pitcher
4690,,104690,1971,1,25,Dominican Republic,De La Cruz,Fernando,72,225,,,Pitcher
4691,,104691,1971,6,2,Venezuela,Petagine,Roberto,73,185,,,First baseman
4692,,104692,1971,6,26,United States,Blosser,Greg,75,201,,,Designated hitter
4693,,104693,1971,9,13,United States,Brede,Brent,76,190,,,Left fielder
4694,,104694,1971,9,29,Venezuela,Diaz,Eddy,70,161,,,Second baseman
4695,,104695,1971,12,26,Dominican Republic,Valdez,Carlos,71,165,,,Pitcher
4696,,104696,1971,12,28,Puerto Rico,Nieves,Melvin,74,185,,,Left fielder
4697,,104697,1972,3,20,Japan,Sogabe,Naoki,72,176,,,Right fielder
4698,,104698,1972,4,25,United States,Franklin,Micah,72,205,,,Right fielder
4699,,104699,1972,7,5,Japan,Abe,Shigeki,71,185,,,Pinch Hitter
4700,,104700,1972,8,24,United States,Miller,Kurt,77,205,,,Pitcher
4701,,104701,1972,9,21,United States,Withem,Shannon,75,185,,,Pitcher
4702,,104702,1972,11,28,Dominican Republic,Parra,Jose,71,161,,,Pitcher
4703,,104703,1973,6,8,Japan,Kawagoe,Hidetaka,69,168,,,Pitcher
4704,,104704,1973,7,11,Japan,Mizuta,Akio,72,179,,,Pitcher
4705,,104705,1973,8,24,Dominican Republic,Pozo,Arquimedez,70,161,,,Third baseman
4706,,104706,1973,8,29,Japan,Hiroike,Koji,73,187,,,Pitcher
4707,,104707,1974,4,10,Japan,Inoue,Koji,72,161,,,Pinch Hitter
4708,,104708,1974,4,22,Japan,Teramura,Tomokazu,71,198,,,Pitcher
4709,,104709,1974,5,23,Japan,Fuchiwaki,Yoshiyuki,72,181,,,Second baseman
4710,,104710,1974,5,24,Japan,Kobayashi,Masahide,72,196,,,Pitcher
4711,,104711,1974,6,22,Japan,Akune,Kokichi,70,165,,,Second baseman
4712,,104712,1974,7,15,Japan,Hesaka,Toshiyuki,70,185,,,Pitcher
4713,,104713,1974,8,16,Japan,Kimura,Masahiro,76,192,,,Pitcher
4714,,104714,1974,10,29,Japan,Sumitomo,Hayato,70,161,,,Second baseman
4715,,104715,1974,11,10,Japan,Iwase,Hitoki,71,179,,,Pitcher
4716,,104716,1975,4,3,Japan,Uehara,Koji,74,192,,,Pitcher
4717,,104717,1975,6,13,Japan,Mende,Tetsuji,72,183,,,Pitcher
4718,,104718,1975,6,13,Japan,Tamaki,Tomotaka,72,172,,,Third baseman
4719,,104719,1975,8,9,Japan,Oho,Hiromi,72,165,,,Right fielder
4720,,104720,1975,10,10,Dominican Republic,Reynoso,Edison,73,170,,,Pitcher
4721,,104721,1975,12,18,Japan,Usami,Yasuhiro,68,143,,,Second baseman
4722,,104722,1975,12,26,Japan,Tateyama,Yoshinori,70,165,,,Pitcher
4723,,104723,1976,1,3,Japan,Maeda,Hirotsugu,68,181,,,Pitcher
4724,,104724,1976,1,12,Japan,Furuki,Shigeyuki,69,170,,,Second baseman
4725,,104725,1976,4,20,Japan,Goshima,Yuji,71,194,,,First baseman
4726,,104726,1976,4,29,Japan,Nioka,Tomohiro,71,179,,,Shortstop
4727,,104727,1976,6,15,Japan,Yano,Eiji,72,174,,,Pitcher
4728,,104728,1976,6,18,Japan,Fujii,Akihito,67,176,,,Catcher
4729,,104729,1976,7,8,Japan,Shibata,Hiroyuki,68,154,,,Center fielder
4730,,104730,1976,7,11,Japan,Aikawa,Ryoji,72,190,,,Catcher
4731,,104731,1976,7,14,Japan,Fukumoto,Makoto,70,172,,,Second baseman
4732,,104732,1976,7,27,Japan,Kinjo,Tatsuhiko,70,181,,,Center fielder
4733,,104733,1976,7,27,Japan,Oyamada,Yasuhiro,72,194,,,Pitcher
4734,,104734,1976,7,29,Japan,Asayama,Toyo,72,181,,,Right fielder
4735,,104735,1976,8,24,Japan,Udaka,Shinji,69,165,,,Pitcher
4736,,104736,1976,9,14,Japan,Hongo,Hiroki,72,181,,,Pinch Hitter
4737,,104737,1976,9,16,Japan,Kawai,Takashi,71,185,,,Pitcher
4738,,104738,1976,9,20,Japan,Tokumoto,Satoshi,71,190,,,Pitcher
4739,,104739,1976,10,4,Japan,Morikasa,Shigeru,71,185,,,Center fielder
4740,,104740,1976,11,10,Japan,Kawabata,Ryu,69,161,,,Pitcher
4741,,104741,1976,11,29,Japan,Ogasawara,Takashi,68,176,,,Pitcher
4742,,104742,1976,12,17,Japan,Ito,Takeshi,73,201,,,Pitcher
4743,,104743,1976,12,28,Japan,Fukuhara,Shinobu,71,212,,,Pitcher
4744,,104744,1977,1,18,Japan,Aikawa,Ryota,72,172,,,Right fielder
4745,,104745,1977,1,30,Japan,Arai,Takahiro,74,209,,,Third baseman
4746,,104746,1977,4,26,Japan,Fukudome,Kosuke,72,198,,,Right fielder
4747,,104747,1977,7,13,Japan,Imamura,Fumiaki,71,154,,,Pitcher
4748,,104748,1977,7,29,Japan,Hoshino,Tomoki,70,161,,,Pitcher
4749,,104749,1977,9,29,Japan,Suzue,Yuki,69,172,,,Pitcher
